,Id,MSSubClass,LotFrontage,LotArea,Alley,LandSlope,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscVal,MoSold,YrSold,SalePrice,MS_Zoning_group,LotShape_group,LandContour_group,LotConfig_group,Condition1_group,BldgType_group,HouseStyle_group,RoofStyle_group,Exterior1st_group,Exterior2nd_group,MasVnrType_group,ExterCond_group,Foundation_group,BsmtQual_group,BsmtCond_group,HeatingQC_group,Electrical_group,GarageCond_group,SaleType_group,SaleCondition_group
366,367,20,,9500,No_alley_access,Gtl,NAmes,6,5,1963,1963,247.0,TA,No,BLQ,609,Unf,0,785,1394,Y,1394,0,0,1394,1,0,1,1,3,1,TA,6,2,Gd,Attchd,1963.0,RFn,2,514,TA,Y,0,76,0,0,185,0,No_pool,No_fence,0,7,2009,159000,FV/ RL,Irregular,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,Other,Plywood/BrkFace/HdBoard,BrkFace,TA/Ex,Wood/CBlock,Ex/Gd,Basement_present,Gd,SBrkr,Garage_present,Other,Normal/Alloca
367,368,80,101.0,9150,No_alley_access,Gtl,NAmes,6,5,1962,1962,305.0,TA,Gd,GLQ,371,Unf,0,728,1099,Y,1431,0,0,1431,0,1,1,0,3,1,TA,6,1,Gd,Basment,1962.0,RFn,1,296,TA,Y,64,110,0,0,0,0,No_pool,No_fence,0,12,2008,165000,FV/ RL,Irregular,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,Other,Plywood/BrkFace/HdBoard,BrkFace,TA/Ex,Wood/CBlock,Ex/Gd,Basement_present,Gd,SBrkr,Garage_present,Other,Normal/Alloca
368,369,20,78.0,7800,No_alley_access,Gtl,NAmes,5,6,1954,1954,200.0,TA,No,LwQ,540,Unf,0,728,1268,Y,1268,0,0,1268,0,0,1,0,2,1,TA,7,1,Gd,Attchd,1954.0,Fin,1,244,TA,Y,0,98,0,0,0,0,No_pool,No_fence,0,3,2010,132000,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,Other,Plywood/BrkFace/HdBoard,BrkFace,TA/Ex,PConc,TA/Fa,Basement_present,Gd,SBrkr,Garage_present,Other,Normal/Alloca
369,370,20,,9830,No_alley_access,Gtl,NAmes,5,7,1959,2006,0.0,TA,No,ALQ,72,Rec,258,733,1063,Y,1287,0,0,1287,1,0,1,0,3,1,Gd,7,1,Gd,Detchd,1997.0,Fin,2,576,TA,Y,364,17,0,0,182,0,No_pool,No_fence,0,3,2010,162000,FV/ RL,Irregular,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,Other,Other,None/BrkCmn,Gd/Fa/Po,Wood/CBlock,TA/Fa,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
370,371,60,,8121,No_alley_access,Gtl,Gilbert,6,5,2000,2000,0.0,TA,No,Unf,0,Unf,0,953,953,Y,953,711,0,1664,0,0,2,1,3,1,TA,7,1,TA,Attchd,2000.0,RFn,2,460,TA,Y,100,40,0,0,0,0,No_pool,No_fence,0,1,2006,172400,FV/ RL,Irregular,Lvl,Inside/Corner,Other,1Fam/TwnhsE,2.5Fin/2Story,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,None/BrkCmn,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
371,372,50,80.0,17120,No_alley_access,Gtl,ClearCr,4,4,1959,1959,0.0,TA,No_basement,No_basement,0,No_basement,0,0,0,Y,1120,468,0,1588,0,0,2,0,4,1,TA,7,1,Gd,Detchd,1991.0,Fin,2,680,TA,N,0,59,0,0,0,0,No_pool,No_fence,0,7,2008,134432,FV/ RL,Reg,Lvl,Inside/Corner,RRAe/Feedr/Artery,1Fam/TwnhsE,Other,Gable/Gambrel,Other,Plywood/BrkFace/HdBoard,None/BrkCmn,TA/Ex,Wood/CBlock,No_basement,No_basement,TA,SBrkr,Garage_present,Other,Normal/Alloca
372,373,120,50.0,7175,No_alley_access,Gtl,SawyerW,6,5,1984,1984,0.0,TA,No,ALQ,623,LwQ,121,0,744,Y,752,0,0,752,1,0,1,0,2,1,TA,4,0,No_fireplace,Attchd,1984.0,Unf,1,264,TA,Y,353,0,0,0,90,0,No_pool,MnPrv,0,2,2010,125000,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,Other,Plywood/BrkFace/HdBoard,None/BrkCmn,TA/Ex,Wood/CBlock,Ex/Gd,Basement_present,TA,SBrkr,Garage_present,Other,Normal/Alloca
373,374,20,79.0,10634,No_alley_access,Gtl,NAmes,5,6,1953,1953,0.0,TA,No,BLQ,428,LwQ,180,0,608,Y,1319,0,0,1319,1,0,1,0,3,1,TA,5,0,No_fireplace,Attchd,1953.0,Unf,1,270,TA,Y,66,0,0,0,0,0,No_pool,GdWo,0,11,2009,123000,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,Other,Other,None/BrkCmn,TA/Ex,PConc,TA/Fa,Basement_present,TA,SBrkr,Garage_present,Other,Normal/Alloca
374,375,60,65.0,8200,No_alley_access,Gtl,CollgCr,7,5,2003,2004,0.0,Gd,No,Unf,0,Unf,0,847,847,Y,847,1081,0,1928,0,0,2,1,4,1,Gd,8,1,Gd,BuiltIn,2003.0,Fin,2,434,TA,Y,100,48,0,0,0,0,No_pool,No_fence,0,7,2007,219500,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,2.5Fin/2Story,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,None/BrkCmn,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
375,376,30,,10020,No_alley_access,Sev,Edwards,1,1,1922,1950,0.0,Fa,Gd,BLQ,350,Unf,0,333,683,N,904,0,0,904,1,0,0,1,1,1,Fa,4,0,No_fireplace,No_garage,,No_garage,0,0,No_garage,Y,0,0,0,0,0,0,No_pool,No_fence,0,3,2009,61000,FV/ RL,Irregular,Other,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,Other,Other,None/BrkCmn,Gd/Fa/Po,Stone/BrkTil/Slab,TA/Fa,Basement_present,Gd,Other,,Other,Normal/Alloca
376,377,85,57.0,8846,No_alley_access,Gtl,CollgCr,5,5,1996,1996,0.0,Gd,Av,GLQ,298,Unf,0,572,870,Y,914,0,0,914,0,0,1,0,2,1,TA,5,0,No_fireplace,Detchd,1998.0,Unf,2,576,TA,Y,0,0,0,0,0,0,No_pool,No_fence,0,7,2006,148000,FV/ RL,Irregular,Lvl,CulDSac/ FR,Other,1Fam/TwnhsE,Other,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,None/BrkCmn,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
377,378,60,102.0,11143,No_alley_access,Gtl,Somerst,8,5,2004,2005,0.0,Gd,No,Unf,0,Unf,0,1580,1580,Y,1580,886,0,2466,0,0,3,0,4,1,Gd,8,1,Gd,Attchd,2004.0,RFn,2,610,TA,Y,159,214,0,0,0,0,No_pool,No_fence,0,12,2007,340000,FV/ RL,Irregular,Lvl,Inside/Corner,Other,1Fam/TwnhsE,2.5Fin/2Story,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,None/BrkCmn,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
378,379,20,88.0,11394,No_alley_access,Gtl,StoneBr,9,2,2010,2010,350.0,Gd,Av,GLQ,1445,Unf,0,411,1856,Y,1856,0,0,1856,1,0,1,1,1,1,Ex,8,1,Ex,Attchd,2010.0,Fin,3,834,TA,Y,113,0,0,0,0,0,No_pool,No_fence,0,6,2010,394432,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Shed/Flat/Hip/Mansard,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,Stone,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,New,Parital
379,380,60,60.0,8123,No_alley_access,Gtl,Gilbert,6,5,2000,2000,16.0,TA,No,Unf,0,Unf,0,982,982,Y,1007,793,0,1800,0,0,2,1,3,1,TA,7,1,TA,Attchd,2000.0,Fin,2,463,TA,Y,100,63,0,0,0,0,No_pool,No_fence,0,6,2009,179000,FV/ RL,Irregular,Lvl,Inside/Corner,Other,1Fam/TwnhsE,2.5Fin/2Story,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,BrkFace,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
380,381,50,50.0,5000,Pave,Gtl,SWISU,5,6,1924,1950,0.0,TA,No,LwQ,218,Unf,0,808,1026,Y,1026,665,0,1691,0,0,2,0,3,1,Gd,6,1,Gd,Detchd,1924.0,Unf,1,308,TA,Y,0,0,242,0,0,0,No_pool,No_fence,0,5,2010,127000,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,Other,Gable/Gambrel,Other,Other,None/BrkCmn,TA/Ex,Stone/BrkTil/Slab,TA/Fa,Basement_present,TA,SBrkr,Garage_present,Other,Normal/Alloca
381,382,20,60.0,7200,Pave,Gtl,Somerst,7,5,2006,2006,0.0,Gd,No,Unf,0,Unf,0,1293,1293,Y,1301,0,0,1301,1,0,2,0,2,1,Gd,5,1,Gd,Attchd,2006.0,RFn,2,572,TA,Y,216,121,0,0,0,0,No_pool,No_fence,0,8,2006,187750,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,None/BrkCmn,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,New,Parital
382,383,60,79.0,9245,No_alley_access,Gtl,CollgCr,7,5,2006,2006,0.0,Gd,Av,Unf,0,Unf,0,939,939,Y,939,858,0,1797,0,0,2,1,3,1,Gd,8,0,No_fireplace,Attchd,2006.0,RFn,2,639,TA,Y,144,53,0,0,0,0,No_pool,No_fence,0,4,2007,213500,FV/ RL,Irregular,Lvl,Inside/Corner,Other,1Fam/TwnhsE,2.5Fin/2Story,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,None/BrkCmn,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
383,384,45,60.0,9000,No_alley_access,Gtl,SawyerW,6,3,1928,1950,0.0,TA,No,Unf,0,Unf,0,784,784,N,784,0,0,784,0,0,1,0,2,1,TA,5,0,No_fireplace,Detchd,1950.0,Unf,2,360,Fa,N,0,0,91,0,0,0,No_pool,No_fence,0,10,2009,76000,Other,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,Other,Gable/Gambrel,Other,Other,None/BrkCmn,TA/Ex,Stone/BrkTil/Slab,TA/Fa,Basement_present,TA,Other,Garage_present,Other,Normal/Alloca
384,385,60,,53107,No_alley_access,Mod,ClearCr,6,5,1992,1992,0.0,Gd,Av,GLQ,985,Unf,0,595,1580,Y,1079,874,0,1953,1,0,2,1,3,1,Gd,9,2,Fa,Attchd,1992.0,Fin,2,501,TA,Y,216,231,0,0,0,0,No_pool,No_fence,0,6,2007,240000,FV/ RL,Irregular,Other,Inside/Corner,RRAe/Feedr/Artery,1Fam/TwnhsE,2.5Fin/2Story,Gable/Gambrel,Other,Plywood/BrkFace/HdBoard,None/BrkCmn,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
385,386,120,43.0,3182,No_alley_access,Gtl,Blmngtn,8,5,2004,2005,16.0,Gd,No,GLQ,24,Unf,0,1232,1256,Y,1269,0,0,1269,0,0,2,0,2,1,Gd,6,1,TA,Attchd,2004.0,Fin,2,430,TA,Y,146,20,0,0,144,0,No_pool,No_fence,0,4,2010,192000,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,BrkFace,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
386,387,50,58.0,8410,No_alley_access,Gtl,Edwards,5,3,1910,1996,0.0,TA,No,Unf,0,Unf,0,658,658,Y,658,526,0,1184,0,0,1,0,5,1,TA,8,0,No_fireplace,No_garage,,No_garage,0,0,No_garage,N,0,151,0,0,0,0,No_pool,No_fence,0,5,2006,81000,FV/ RL,Reg,Lvl,CulDSac/ FR,RRAe/Feedr/Artery,1Fam/TwnhsE,Other,Gable/Gambrel,Other,Other/CmentBd/VinylSd/ImStucc/Stone,None/BrkCmn,Gd/Fa/Po,PConc,TA/Fa,Basement_present,TA,SBrkr,,Other,Family/Abnormal/AdjLand
387,388,80,72.0,7200,No_alley_access,Gtl,Edwards,6,6,1976,1976,255.0,TA,Av,ALQ,631,Unf,0,410,1041,Y,1125,0,0,1125,1,0,1,0,3,1,TA,6,1,Fa,Detchd,1977.0,Unf,1,352,TA,Y,296,0,0,0,0,0,No_pool,GdWo,0,10,2009,125000,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Shed/Flat/Hip/Mansard,Other,Other,BrkFace,TA/Ex,Wood/CBlock,TA/Fa,Basement_present,Ex,SBrkr,Garage_present,Other,
388,389,20,93.0,9382,No_alley_access,Gtl,CollgCr,7,5,1999,2000,125.0,Gd,No,Unf,0,Unf,0,1468,1468,Y,1479,0,0,1479,0,0,2,0,3,1,Gd,6,0,No_fireplace,Attchd,1999.0,RFn,2,577,TA,Y,120,25,0,0,0,0,No_pool,No_fence,0,7,2008,191000,FV/ RL,Irregular,Lvl,CulDSac/ FR,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,BrkFace,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
389,390,60,96.0,12474,No_alley_access,Gtl,NridgHt,10,5,2007,2008,272.0,Ex,Av,GLQ,1280,Unf,0,402,1682,Y,1742,590,0,2332,1,0,2,1,3,1,Ex,9,1,Ex,BuiltIn,2008.0,Fin,3,846,TA,Y,196,134,0,0,0,0,No_pool,No_fence,0,8,2008,426000,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,2.5Fin/2Story,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,Stone,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,New,Parital
390,391,50,50.0,8405,Grvl,Gtl,Edwards,5,8,1900,1950,0.0,TA,No,Rec,241,BLQ,391,229,861,Y,961,406,0,1367,1,0,1,0,4,1,TA,7,0,No_fireplace,Detchd,1978.0,Unf,1,384,TA,Y,0,130,112,0,0,0,No_pool,MnPrv,0,4,2008,119000,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,Other,Gable/Gambrel,Other,Other,None/BrkCmn,TA/Ex,Stone/BrkTil/Slab,TA/Fa,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
391,392,60,71.0,12209,No_alley_access,Gtl,Mitchel,6,5,2001,2002,0.0,TA,No,ALQ,690,Unf,0,114,804,Y,804,1157,0,1961,1,0,2,1,3,1,Gd,7,1,TA,BuiltIn,2001.0,Fin,2,560,TA,Y,125,192,0,0,0,0,No_pool,No_fence,0,6,2009,215000,FV/ RL,Irregular,Lvl,CulDSac/ FR,Other,1Fam/TwnhsE,2.5Fin/2Story,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,None/BrkCmn,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
392,393,20,,8339,No_alley_access,Gtl,NAmes,5,7,1959,1959,0.0,TA,No_basement,No_basement,0,No_basement,0,0,0,Y,882,0,0,882,0,0,1,0,3,1,TA,5,0,No_fireplace,Attchd,1959.0,RFn,1,294,TA,Y,0,0,0,0,0,0,No_pool,MnPrv,1200,7,2007,106500,FV/ RL,Irregular,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,Other,Other,None/BrkCmn,TA/Ex,Stone/BrkTil/Slab,No_basement,No_basement,TA,SBrkr,Garage_present,Other,Normal/Alloca
393,394,30,,7446,No_alley_access,Gtl,BrkSide,4,5,1941,1950,0.0,TA,No,Rec,266,Unf,0,522,788,Y,788,0,0,788,0,0,1,0,2,1,TA,4,2,TA,No_garage,,No_garage,0,0,No_garage,Y,0,0,0,0,0,0,No_pool,GdWo,0,4,2006,100000,FV/ RL,Reg,Lvl,Inside/Corner,RRAe/Feedr/Artery,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,Other,Other,None/BrkCmn,TA/Ex,Wood/CBlock,TA/Fa,Basement_present,TA,Other,,Other,
394,395,50,60.0,10134,No_alley_access,Gtl,OldTown,5,6,1940,1950,0.0,TA,No,Unf,0,Unf,0,735,735,Y,735,299,0,1034,0,0,1,0,2,1,TA,5,0,No_fireplace,Detchd,1940.0,Unf,1,240,TA,Y,0,39,0,0,0,0,No_pool,No_fence,0,7,2007,109000,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,Other,Gable/Gambrel,Other,Other,None/BrkCmn,TA/Ex,Wood/CBlock,TA/Fa,Basement_present,Gd,Other,Garage_present,Other,Normal/Alloca
395,396,20,68.0,9571,No_alley_access,Gtl,Edwards,5,6,1956,1956,0.0,TA,Av,BLQ,739,Unf,0,405,1144,Y,1144,0,0,1144,1,0,1,0,3,1,TA,6,0,No_fireplace,Attchd,1956.0,Unf,1,596,TA,Y,44,0,0,0,0,0,No_pool,No_fence,0,6,2010,129000,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,Other,Other,None/BrkCmn,TA/Ex,Wood/CBlock,TA/Fa,Basement_present,TA,SBrkr,Garage_present,Other,Normal/Alloca
396,397,20,60.0,7200,No_alley_access,Gtl,CollgCr,5,5,1972,1972,0.0,TA,Av,Rec,777,Unf,0,117,894,Y,894,0,0,894,0,0,1,0,2,1,TA,6,0,No_fireplace,Detchd,1985.0,RFn,2,600,TA,Y,215,0,0,0,0,0,No_pool,No_fence,0,9,2009,123000,FV/ RL,Reg,Other,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Shed/Flat/Hip/Mansard,Other,Other,None/BrkCmn,TA/Ex,Wood/CBlock,TA/Fa,Basement_present,TA,SBrkr,Garage_present,Other,Normal/Alloca
397,398,60,69.0,7590,No_alley_access,Gtl,NAmes,5,5,1962,1962,288.0,TA,No,ALQ,540,Unf,0,324,864,Y,876,936,0,1812,0,0,2,0,4,1,TA,8,1,TA,Attchd,1962.0,RFn,1,264,TA,Y,0,168,0,0,0,0,No_pool,No_fence,0,7,2007,169500,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,2.5Fin/2Story,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,BrkFace,TA/Ex,Wood/CBlock,TA/Fa,Basement_present,TA,SBrkr,Garage_present,Other,Normal/Alloca
398,399,30,60.0,8967,No_alley_access,Gtl,IDOTRR,5,2,1920,1950,0.0,TA,No,Unf,0,Unf,0,961,961,Y,1077,0,0,1077,0,0,1,0,2,1,TA,6,0,No_fireplace,Detchd,1920.0,Unf,1,338,Po,N,0,0,0,0,0,0,No_pool,No_fence,0,11,2007,67000,Other,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,Other,Other,None/BrkCmn,Gd/Fa/Po,Stone/BrkTil/Slab,TA/Fa,Basement_present,Gd,Other,Garage_present,Other,
399,400,60,65.0,8125,No_alley_access,Gtl,Somerst,7,5,2006,2007,100.0,Gd,No,GLQ,812,Unf,0,280,1092,Y,1112,438,0,1550,1,0,2,0,2,1,Gd,7,0,No_fireplace,Attchd,2007.0,Fin,2,438,TA,Y,0,168,0,0,0,0,No_pool,No_fence,0,10,2009,241000,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,2.5Fin/2Story,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,Stone,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
400,401,120,38.0,14963,No_alley_access,Gtl,Veenker,8,5,1996,1996,0.0,Gd,No,GLQ,786,Unf,0,474,1260,Y,1288,0,0,1288,1,0,1,1,1,1,Ex,4,2,Gd,Attchd,1996.0,Fin,2,500,TA,Y,120,30,0,0,224,0,No_pool,No_fence,0,12,2008,245500,FV/ RL,Irregular,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,Other,Plywood/BrkFace/HdBoard,None/BrkCmn,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
401,402,20,65.0,8767,No_alley_access,Gtl,CollgCr,7,5,2005,2005,0.0,Gd,Av,GLQ,24,Unf,0,1286,1310,Y,1310,0,0,1310,0,0,2,0,3,1,Gd,6,1,Gd,Attchd,2005.0,Fin,2,400,TA,Y,0,0,0,0,0,0,No_pool,No_fence,0,7,2006,164990,FV/ RL,Irregular,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,None/BrkCmn,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,New,Parital
402,403,30,60.0,10200,No_alley_access,Gtl,Sawyer,5,8,1940,1997,0.0,TA,No,Unf,0,Unf,0,672,672,Y,672,0,0,672,0,0,1,0,2,1,TA,4,0,No_fireplace,Detchd,1940.0,Unf,1,240,TA,N,168,0,0,0,0,0,No_pool,GdPrv,0,8,2008,108000,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,Other,Other,None/BrkCmn,TA/Ex,PConc,TA/Fa,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
403,404,60,93.0,12090,No_alley_access,Gtl,NoRidge,8,5,1998,1998,650.0,Gd,No,Unf,0,Unf,0,1141,1141,Y,1165,1098,0,2263,0,0,2,1,4,1,Gd,10,1,TA,BuiltIn,1998.0,Fin,2,420,TA,Y,144,123,0,0,0,0,No_pool,No_fence,0,7,2006,258000,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,2.5Fin/2Story,Shed/Flat/Hip/Mansard,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,BrkFace,TA/Ex,PConc,Ex/Gd,Basement_present,Gd,SBrkr,Garage_present,Other,
404,405,60,,10364,No_alley_access,Gtl,Gilbert,6,5,1995,1996,0.0,TA,No,Unf,0,Unf,0,806,806,Y,806,766,0,1572,0,0,2,1,3,1,TA,7,1,TA,BuiltIn,1995.0,Fin,2,373,TA,Y,0,40,0,0,0,0,No_pool,No_fence,0,5,2007,168000,FV/ RL,Irregular,Lvl,Inside/Corner,Other,1Fam/TwnhsE,2.5Fin/2Story,Gable/Gambrel,Other,Other,None/BrkCmn,TA/Ex,PConc,Ex/Gd,Basement_present,Gd,SBrkr,Garage_present,Other,Normal/Alloca
405,406,20,,9991,No_alley_access,Gtl,Sawyer,4,4,1976,1993,0.0,TA,No,BLQ,1116,Unf,0,165,1281,Y,1620,0,0,1620,1,0,2,0,3,1,TA,8,1,TA,Attchd,1993.0,Unf,2,490,TA,Y,120,78,0,0,0,0,No_pool,GdWo,0,6,2009,150000,FV/ RL,Irregular,Lvl,Inside/Corner,RRAe/Feedr/Artery,1Fam/TwnhsE,1Story/SLvl,Gable/Gambrel,Other,Plywood/BrkFace/HdBoard,None/BrkCmn,TA/Ex,Wood/CBlock,TA/Fa,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
406,407,50,51.0,10480,No_alley_access,Gtl,SWISU,6,5,1936,1950,0.0,TA,No,Unf,0,Unf,0,1064,1064,Y,1166,0,473,1639,0,0,1,0,3,1,TA,6,0,No_fireplace,Detchd,1936.0,Unf,1,240,TA,Y,0,0,0,0,0,0,No_pool,No_fence,0,3,2008,115000,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,Other,Gable/Gambrel,Other,Other,None/BrkCmn,TA/Ex,Stone/BrkTil/Slab,TA/Fa,Basement_present,Ex,Other,Garage_present,Other,Normal/Alloca
407,408,70,63.0,15576,No_alley_access,Gtl,Crawfor,6,7,1915,1976,0.0,TA,No,Unf,0,Unf,0,840,840,Y,840,840,0,1680,0,0,2,0,4,1,TA,8,0,No_fireplace,Attchd,1960.0,Unf,1,308,TA,Y,0,0,160,0,0,0,No_pool,No_fence,0,3,2008,177000,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,2.5Fin/2Story,Gable/Gambrel,Other,Plywood/BrkFace/HdBoard,None/BrkCmn,TA/Ex,Stone/BrkTil/Slab,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,Other,Normal/Alloca
408,409,60,109.0,14154,No_alley_access,Gtl,NridgHt,7,5,2006,2006,350.0,Gd,No,Unf,0,Unf,0,1063,1063,Y,1071,1101,0,2172,0,0,2,1,3,1,Gd,9,1,Gd,Attchd,2006.0,RFn,3,947,TA,Y,192,62,0,0,0,0,No_pool,No_fence,0,8,2007,280000,FV/ RL,Reg,Lvl,Inside/Corner,Other,1Fam/TwnhsE,2.5Fin/2Story,Gable/Gambrel,ImStucc/Stone/CemntBd/VinylSd,Other/CmentBd/VinylSd/ImStucc/Stone,BrkFace,TA/Ex,PConc,Ex/Gd,Basement_present,Ex,SBrkr,Garage_present,New,Parital
